Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2026-08-27 10:00:00,2026-08-27 10:05:00,Netflix,-45.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-28 10:00:00,2026-08-28 10:05:00,Amazon,-38.20,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-30 10:00:00,2026-08-30 10:05:00,Booking.com,-50.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-31 10:00:00,2026-08-31 10:05:00,Wolt,-26.70,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-06 10:00:00,2026-08-06 10:05:00,Glovo,-19.90,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-13 10:00:00,2026-08-13 10:05:00,Poczta Polska,-12.40,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-20 10:00:00,2026-08-20 10:05:00,Play Mobile,-60.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-27 10:00:00,2026-08-27 10:05:00,OpenAI,-72.76,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-08-11 10:00:00,2026-08-11 10:05:00,Hotel that fell through,-220.00,0.00,EUR,REVERTED,0.00
CARD_PAYMENT,Current,2026-09-01 10:00:00,2026-09-01 10:05:00,Spotify,-9.99,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-09-02 10:00:00,2026-09-02 10:05:00,Adobe Stock,-25.00,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-09-03 10:00:00,2026-09-03 10:05:00,Coffee Republic,-3.60,0.00,EUR,COMPLETED,0.00
CARD_PAYMENT,Current,2026-09-03 10:00:00,2026-09-03 10:05:00,Coffee Republic,-6.40,0.00,EUR,COMPLETED,0.00
